CodigoNacional;momento;Ts_valor
330021;01-01-2017 0:00;20.6
330021;01-01-2017 1:00;19.9
330021;01-01-2017 2:00;18.0
330021;01-01-2017 3:00;18.2
330021;01-01-2017 4:00;16.8
330021;01-01-2017 5:00;16.2
330021;01-01-2017 6:00;15.9
330021;01-01-2017 7:00;15.4
330021;01-01-2017 8:00;14.3
330021;01-01-2017 9:00;13.5
330021;01-01-2017 10:00;14.1
330021;01-01-2017 11:00;15.1
330021;01-01-2017 12:00;18.2
330021;01-01-2017 13:00;20.5
330021;01-01-2017 14:00;22.5
330021;01-01-2017 15:00;24.4
330021;01-01-2017 16:00;26.7
330021;01-01-2017 17:00;29.5
330021;01-01-2017 18:00;29.4
330021;01-01-2017 19:00;31.0
330021;01-01-2017 20:00;31.8
330021;01-01-2017 21:00;30.3
330021;01-01-2017 22:00;29.0
330021;01-01-2017 23:00;27.1
330021;02-01-2017 0:00;25.4
330021;02-01-2017 1:00;24.4
330021;02-01-2017 2:00;23.7
330021;02-01-2017 3:00;21.4
330021;02-01-2017 4:00;20.7
330021;02-01-2017 5:00;19.9
330021;02-01-2017 6:00;18.6
330021;02-01-2017 7:00;15.5
330021;02-01-2017 8:00;15.7
330021;02-01-2017 9:00;17.0
330021;02-01-2017 10:00;16.4
330021;02-01-2017 11:00;17.4
330021;02-01-2017 12:00;21.6
330021;02-01-2017 13:00;22.8
330021;02-01-2017 14:00;25.0
330021;02-01-2017 15:00;27.4
330021;02-01-2017 16:00;28.7
330021;02-01-2017 17:00;30.6
330021;02-01-2017 18:00;31.4
330021;02-01-2017 19:00;31.3
330021;02-01-2017 20:00;30.9
330021;02-01-2017 21:00;30.1
330021;02-01-2017 22:00;27.8
330021;02-01-2017 23:00;26.2
330021;03-01-2017 0:00;24.4
330021;03-01-2017 1:00;23.8
330021;03-01-2017 2:00;22.4
330021;03-01-2017 3:00;20.6
330021;03-01-2017 4:00;19.2
330021;03-01-2017 5:00;17.6
330021;03-01-2017 6:00;16.3
330021;03-01-2017 7:00;15.7
330021;03-01-2017 8:00;14.8
330021;03-01-2017 9:00;13.7
330021;03-01-2017 10:00;13.6
