CodigoNacional;momento;dd_Valor;ff_Valor;VRB_Valor
330021;01-01-2017 0:00;210.0;13.0;0.0
330021;01-01-2017 1:00;200.0;7.0;0.0
330021;01-01-2017 2:00;150.0;9.0;0.0
330021;01-01-2017 3:00;160.0;7.0;0.0
330021;01-01-2017 4:00;160.0;7.0;0.0
330021;01-01-2017 5:00;160.0;4.0;0.0
330021;01-01-2017 6:00;150.0;3.0;0.0
330021;01-01-2017 7:00;;1.0;1.0
330021;01-01-2017 8:00;;1.0;1.0
330021;01-01-2017 9:00;330.0;3.0;0.0
330021;01-01-2017 10:00;0.0;0.0;0.0
330021;01-01-2017 11:00;;2.0;1.0
330021;01-01-2017 12:00;;2.0;1.0
330021;01-01-2017 13:00;;2.0;1.0
330021;01-01-2017 14:00;220.0;4.0;0.0
330021;01-01-2017 15:00;180.0;4.0;0.0
330021;01-01-2017 16:00;160.0;8.0;0.0
330021;01-01-2017 17:00;160.0;10.0;0.0
330021;01-01-2017 18:00;160.0;9.0;0.0
330021;01-01-2017 19:00;170.0;11.0;0.0
330021;01-01-2017 20:00;210.0;12.0;0.0
330021;01-01-2017 21:00;220.0;14.0;0.0
330021;01-01-2017 22:00;230.0;15.0;0.0
330021;01-01-2017 23:00;210.0;16.0;0.0
330021;02-01-2017 0:00;200.0;14.0;0.0
330021;02-01-2017 1:00;200.0;11.0;0.0
330021;02-01-2017 2:00;170.0;6.0;0.0
330021;02-01-2017 3:00;150.0;6.0;0.0
330021;02-01-2017 4:00;110.0;3.0;0.0
330021;02-01-2017 5:00;160.0;3.0;0.0
330021;02-01-2017 6:00;;2.0;1.0
330021;02-01-2017 7:00;;2.0;1.0
330021;02-01-2017 8:00;30.0;5.0;0.0
330021;02-01-2017 9:00;;1.0;1.0
330021;02-01-2017 10:00;;2.0;1.0
330021;02-01-2017 11:00;320.0;3.0;0.0
330021;02-01-2017 12:00;;2.0;1.0
330021;02-01-2017 13:00;;2.0;1.0
330021;02-01-2017 14:00;200.0;3.0;0.0
330021;02-01-2017 15:00;150.0;6.0;0.0
