Hora local en Santiago (aeropuerto);Nubosidad;Visibilidad
31.12.2017 23:00;Nubosidad dispersa;10.0
31.12.2017 22:00;Nubosidad escasa;10.0
31.12.2017 21:00;Nubosidad dispersa;10.0
31.12.2017 20:00;Nubosidad dispersa;10.0
31.12.2017 19:00;Nubosidad dispersa;10.0
31.12.2017 18:00;Nubosidad fragmentada;10.0
31.12.2017 17:00;Nubosidad fragmentada;10.0
31.12.2017 16:00;Nubosidad dispersa;10.0
31.12.2017 15:00;Nubosidad escasa;10.0
31.12.2017 14:00;Nubosidad dispersa;10.0
31.12.2017 13:00;Nubosidad dispersa;10.0
31.12.2017 12:00;Nubosidad dispersa;10.0
31.12.2017 11:00;Nubosidad escasa;10.0
31.12.2017 10:00;Nubosidad escasa;10.0
31.12.2017 09:00;Nubosidad escasa;10.0
31.12.2017 08:20;Nubosidad escasa;10.0
31.12.2017 08:00;Nubosidad dispersa;4.0
31.12.2017 07:00;Nubosidad fragmentada;0.5
31.12.2017 06:00;Nubosidad fragmentada;0.2
31.12.2017 05:00;Nubosidad fragmentada;10.0
31.12.2017 04:00;Nubosidad escasa;10.0
31.12.2017 03:00;Nubosidad escasa;10.0
31.12.2017 02:00;Nubosidad escasa;10.0
31.12.2017 01:00;Nubosidad escasa;10.0
31.12.2017 00:00;Nubosidad escasa;10.0
30.12.2017 23:00;Nubosidad escasa;10.0
30.12.2017 22:00;Nubosidad escasa;10.0
30.12.2017 21:00;Nubosidad escasa;10.0
30.12.2017 20:00;Nubosidad escasa;10.0
30.12.2017 19:00;Nubosidad escasa;10.0
30.12.2017 18:00;Nubosidad escasa;10.0
30.12.2017 17:00;Nubosidad escasa;10.0
30.12.2017 16:00;Nubosidad escasa;10.0
30.12.2017 15:00;Nubosidad escasa;10.0
30.12.2017 14:00;Nubosidad escasa;10.0
30.12.2017 13:00;Nubosidad escasa;10.0
30.12.2017 12:00;Nubosidad escasa;10.0
30.12.2017 11:00;Nubosidad escasa;10.0
30.12.2017 10:00;Nubosidad fragmentada;5.0
30.12.2017 09:00;Cielo cubierto;0.4
30.12.2017 08:13;Nubosidad fragmentada;0.2
30.12.2017 08:00;Nubosidad fragmentada;0.2
30.12.2017 07:00;Nubosidad fragmentada;0.2
30.12.2017 06:00;Nubosidad fragmentada;0.9
30.12.2017 05:00;Nubosidad escasa;1.0
30.12.2017 04:00;Nubosidad escasa;10.0
30.12.2017 03:00;Nubosidad escasa;10.0
30.12.2017 02:00;Nubosidad escasa;10.0
30.12.2017 01:00;Nubosidad escasa;10.0
30.12.2017 00:00;Nubosidad escasa;10.0
29.12.2017 23:00;Nubosidad escasa;10.0
29.12.2017 22:00;Nubosidad escasa;10.0
29.12.2017 21:00;Nubosidad escasa;10.0
29.12.2017 20:00;Nubosidad escasa;10.0
29.12.2017 19:00;Nubosidad escasa;10.0
29.12.2017 18:00;Nubosidad escasa;10.0
29.12.2017 17:00;Nubosidad fragmentada;8.0
29.12.2017 16:00;Nubosidad escasa;10.0
29.12.2017 15:00;Nubosidad escasa;10.0
29.12.2017 14:00;Nubosidad escasa;10.0
29.12.2017 13:00;Nubosidad dispersa;10.0
29.12.2017 12:00;Nubosidad escasa;10.0
29.12.2017 11:00;Nubosidad fragmentada;10.0
29.12.2017 10:00;Nubosidad fragmentada;10.0
29.12.2017 09:00;Nubosidad fragmentada;10.0
29.12.2017 08:00;Nubosidad fragmentada;10.0
29.12.2017 07:00;Nubosidad dispersa;10.0
29.12.2017 06:00;Nubosidad dispersa;10.0
29.12.2017 05:00;Nubosidad dispersa;10.0
29.12.2017 04:00;Nubosidad dispersa;10.0
29.12.2017 03:00;Nubosidad dispersa;10.0
29.12.2017 02:00;Nubosidad dispersa;10.0
29.12.2017 01:00;Nubosidad dispersa;10.0
29.12.2017 00:00;Nubosidad dispersa;10.0
28.12.2017 23:00;Nubosidad dispersa;10.0
28.12.2017 22:00;Nubosidad fragmentada;10.0
28.12.2017 21:00;Nubosidad fragmentada;10.0
28.12.2017 20:00;Nubosidad fragmentada;10.0
28.12.2017 19:00;Nubosidad fragmentada;10.0
28.12.2017 18:00;Nubosidad dispersa;10.0
28.12.2017 17:00;Nubosidad dispersa;10.0
28.12.2017 16:00;Nubosidad dispersa;10.0
28.12.2017 15:00;Nubosidad dispersa;10.0
28.12.2017 14:00;Nubosidad dispersa;10.0
28.12.2017 13:00;Nubosidad dispersa;10.0
28.12.2017 12:00;Nubosidad dispersa;1.0
28.12.2017 11:00;Nubosidad dispersa;10.0
28.12.2017 10:00;Nubosidad dispersa;10.0
28.12.2017 09:00;Nubosidad escasa;10.0
28.12.2017 08:00;Nubosidad escasa;5.0
28.12.2017 07:40;Nubosidad escasa;5.0
28.12.2017 07:00;Nubosidad dispersa;0.5
28.12.2017 06:00;Nubosidad dispersa;10.0
28.12.2017 05:00;Nubosidad dispersa;10.0
28.12.2017 04:00;Nubosidad fragmentada;10.0
28.12.2017 03:00;Nubosidad fragmentada;7.0
28.12.2017 02:00;Nubosidad fragmentada;10.0
28.12.2017 01:00;Nubosidad fragmentada;10.0
28.12.2017 00:00;Nubosidad fragmentada;10.0
27.12.2017 23:00;Nubosidad fragmentada;10.0
27.12.2017 22:00;Nubosidad dispersa;10.0
27.12.2017 21:00;Nubosidad dispersa;10.0
27.12.2017 20:00;Nubosidad dispersa;10.0
27.12.2017 19:00;Nubosidad dispersa;10.0
27.12.2017 18:00;Nubosidad dispersa;10.0
27.12.2017 17:00;Nubosidad fragmentada;10.0
27.12.2017 16:00;Nubosidad dispersa;10.0
27.12.2017 15:10;Nubosidad dispersa;10.0
27.12.2017 15:00;Nubosidad dispersa;5.0
27.12.2017 14:00;Nubosidad dispersa;10.0
27.12.2017 13:00;Nubosidad dispersa;7.0
27.12.2017 12:00;Nubosidad dispersa;10.0
27.12.2017 11:00;Nubosidad dispersa;10.0
27.12.2017 10:00;Nubosidad escasa;10.0
27.12.2017 09:00;Nubosidad escasa;10.0
27.12.2017 08:00;Nubosidad dispersa;3.0
27.12.2017 07:00;Nubosidad dispersa;10.0
27.12.2017 06:00;Nubosidad dispersa;10.0
27.12.2017 05:00;Nubosidad dispersa;10.0
27.12.2017 04:00;Nubosidad dispersa;10.0
27.12.2017 02:00;Nubosidad escasa;10.0
27.12.2017 01:00;Nubosidad escasa;10.0
27.12.2017 00:00;Nubosidad escasa;10.0
26.12.2017 23:00;Nubosidad escasa;10.0
26.12.2017 22:00;Nubosidad escasa;10.0
26.12.2017 21:00;Nubosidad escasa;10.0
26.12.2017 20:00;Nubosidad escasa;10.0
26.12.2017 19:00;Nubosidad escasa;10.0
26.12.2017 18:00;Nubosidad escasa;10.0
26.12.2017 17:00;Nubosidad escasa;10.0
26.12.2017 16:00;Nubosidad escasa;10.0
26.12.2017 15:00;Nubosidad dispersa;10.0
26.12.2017 14:00;Nubosidad fragmentada;7.0
26.12.2017 13:00;Nubosidad dispersa;8.0
26.12.2017 12:00;Nubosidad dispersa;10.0
26.12.2017 11:00;Nubosidad dispersa;10.0
26.12.2017 10:00;Nubosidad fragmentada;2.0
26.12.2017 09:00;Nubosidad fragmentada;2.0
26.12.2017 07:00;Nubosidad fragmentada;10.0
26.12.2017 06:00;Nubosidad dispersa;10.0
26.12.2017 05:00;Nubosidad dispersa;10.0
26.12.2017 04:00;Nubosidad fragmentada;10.0
26.12.2017 03:00;Nubosidad escasa;10.0
26.12.2017 01:00;Nubosidad dispersa;10.0
26.12.2017 00:00;Nubosidad dispersa;10.0
25.12.2017 23:00;Nubosidad dispersa;10.0
25.12.2017 22:00;Nubosidad dispersa;10.0
25.12.2017 21:00;Nubosidad dispersa;10.0
25.12.2017 20:00;Nubosidad dispersa;10.0
25.12.2017 19:00;Nubosidad fragmentada;10.0
25.12.2017 18:00;Nubosidad fragmentada;7.0
25.12.2017 17:00;Nubosidad dispersa;10.0
25.12.2017 16:00;Nubosidad dispersa;10.0
25.12.2017 15:00;Nubosidad dispersa;10.0
25.12.2017 14:00;Nubosidad dispersa;8.0
25.12.2017 13:06;Nubosidad dispersa;10.0
25.12.2017 12:00;Nubosidad dispersa;10.0
25.12.2017 11:00;Nubosidad dispersa;10.0
25.12.2017 10:00;Nubosidad escasa;10.0
25.12.2017 09:00;Nubosidad escasa;10.0
25.12.2017 08:00;Nubosidad escasa;10.0
25.12.2017 07:00;Nubosidad escasa;10.0
25.12.2017 06:00;Nubosidad fragmentada;10.0
25.12.2017 05:00;Nubosidad fragmentada;10.0
25.12.2017 04:00;Nubosidad fragmentada;7.0
25.12.2017 03:00;Nubosidad fragmentada;10.0
